quest_id,name_en,category,rank,stars,quest_type,location_en,zenny,objective_en,description_en
504,A Colossal Task,assigned,LR,6,assignment,Everstream,8280,Complete the assignment,The operation is set to commence in the Everstream. Do everything you can to force Zorah Magdaros out to sea. We must not fail! May the Sapphire Star light our way!
601,Invader in the Waste,assigned,HR,6,hunt,Wildspire Waste,7200,Hunt a Pukei-Pukei,"A Pukei-Pukei in the Wildspire Waste!? As if that's not already weird enough, this one's extra tough. We've gotta get to the bottom of this! Be careful, Partner!"
605,Tickled Pink,assigned,HR,6,hunt,Wildspire Waste,9000,Hunt an Anjanath,A powerful Anjanath's been sighted! Their kind's the gold— pink?—standard for New World monsters. We can't let this chance at an ideal sample slip away. Go hunt it ASAP!
607,Old World Monster in the New World,assigned,HR,7,hunt,Coral Highlands,12600,Complete the assignment,We've finally tracked down the source of those mysterious tracks. Report to the Coral Highlands and seek it out! I'll be expecting your report as soon as you're done!
701,A Wound and a Thirst,assigned,HR,8,hunt,Elder's Recess,18000,Slay Nergigante,"The Nergigante's long eyed us from the far side of the Elder Crossing, but now we have a lead on its whereabouts. If we can study it, it may reveal the Crossing's true nature."
801,"Kushala Daora, Dragon of Steel",assigned,HR,8,hunt,Elder's Recess,18000,Slay Kushala Daora,"The elder dragon tracks in the forest? Kushala Daora. I'm sure of it. We know it's in the Elder's Recess. For the safety of everyone in Astera, we're counting on you!"
802,Teostra the Infernal,assigned,HR,8,hunt,Elder's Recess,18000,Slay Teostra,"It's Teostra that stalks the Waste—Emperor of flame. And now it sits in wait in the Elder's Recess. Go to it, hunter, and end its searing reign!"
803,Hellish Fiend Vaal Hazak,assigned,HR,8,hunt,Rotten Vale,18000,Slay Vaal Hazak,I'm absolutely positive that the effluvium is controlled by Vaal Hazak. Now to prove my theory once and for all. Go to the vale and seek out Vaal Hazak!
804,Land of Convergence,assigned,HR,9,hunt,Confluence of Fates,19800,Complete the assignment,"An immense energy flows through the New World, and we've found where it all leads to. Go with the Seeker and find out what's there. May the Sapphire Star guide us all."
805,Beyond the Blasting Scales,assigned,HR,9,hunt,Wildspire Waste,27720,Hunt two Bazelgeuse,"This quest courts only those with absolute faith in their abilities. You face two abnormally powerful Bazelgeuse, Defeat them to prove you are a true master of the hunt!"
806,Thunderous Rumble in the Highlands,assigned,HR,9,hunt,Coral Highlands,21600,Slay a Kirin,This quest seeks only those with an unquenchable flame in their chest. Make for the Coral Highlands and investigate the beast swathed in lightning. Beyond it lies true glory.
241,Learning the Clutch,optional,LR,1,hunt,Arena,300,Learn the mechanics of the clutch claw,"The old man said that New World hunters need to keep innovating, and our latest innovation is the clutch claw, a new feature of the slinger. Time for you to get up to snuff on how to use it."
151,Butting Heads with Nature,optional,LR,1,hunt,Ancient Forest,720,Slay 12 Kestodon,"Blasted Kestodon! Every single time we go out to collect samples, those annoying creatures knock us on our tushes! I wish they'd butt out of our research!"
152,A Thicket of Thugs,optional,LR,1,hunt,Ancient Forest,720,Slay 7 Jagras,"One of my field researchers wants to collect brightmoss to study. Only problem is, it's mostly found in caves. Guess what else is mostly found in caves? That's right...Jagras!"
153,Fungal Flexin' in the Ancient Forest,optional,LR,1,deliver,Ancient Forest,720,Deliver 20 Gourmet Shroomcaps,"Supplements? At MY Canteen? Pfft! We're all organic, baby! If you need vitamin D, get some Gourmet Shroomcaps! *Unlocks a new Canteen ingredient on first time completion."
251,The Great Glutton,optional,LR,2,hunt,Ancient Forest,1800,Hunt a Great Jagras,I'm sure by now you've seen the way Great Jagras swallow its prey whole. One's been spotted again in the forest. Take it out before one of my researchers gets gobbled up!
252,Camp Crasher,optional,LR,2,hunt,Ancient Forest,1800,Hunt a Kulu-Ya-Ku,The other morning one of my researchers woke to his camp having been pilfered by one of those thieving Kulu-Ya-Ku. Do something about it before it ransacks another camp!
261,Snatch the Snatcher,optional,LR,2,capture,Wildspire Waste,2520,Capture a Kulu-Ya-Ku,The Kulu-Ya-Ku uses its nimble forearms to pick up stones and eggs. Monsters that use tools are exceptionally rare. I'd like you to catch one for closer study.
262,The Pain from Gains,optional,LR,2,hunt,Wildspire Waste,1080,Slay 7 Gajau,My paw-thritis is acting up again. Years of Palico-ing will do that to you. The best remedy? Good ol' Gajau liver oil! *Unlocks a new Canteen ingredient on first time completion.
263,Exterminator of the Waste,optional,LR,2,hunt,Wildspire Waste,1080,Slay 14 Vespoid,"I need you to go out to the Wildspire Waste and waste a few Vespoids...or as I like to call them, punchin' bags with wings. *Unlocks a new Canteen ingredient on first time completion."
351,Scatternut Shortage,optional,LR,3,hunt,Ancient Forest,2520,Hunt a Pukei-Pukei,A Pukei-Pukei must have shown up because it's getting more and more difficult to gather scatternuts! We can't study them if the only specimens we can gather are covered in poison!
352,The Current Situation,optional,LR,3,hunt,Ancient Forest,3240,Hunt a Tobi-Kadachi,Don't touch me! Don't touch me! *zap* I told you NOT TO TOUCH ME! A blasted Tobi-Kadachi has shown up and now I can't touch anything without getting— *ZAP* OUCH!
361,Mired in the Spire,optional,LR,3,hunt,Wildspire Waste,2520,Hunt a Barroth,The Carrier Ants out in the Wildspire Waste are extraordinary engineers. We've been trying to further our research of them but a Barroth appeared and mucked up our entire operation.
362,The Piscine Problem,optional,LR,3,hunt,Wildspire Waste,3240,Hunt a Jyuratodus,The Iron Helmcrab is such a fascinating creature. Just kick it over and out pops a piercing pod! We'd love to study them more but not with a Jyuratodus lurking about!
363,Prickly Predicament,optional,LR,3,deliver,Wildspire Waste,1080,Deliver 20 Bauble Cactuses,"I'm confident the plants native to the waste will help us grow our Ancient Trees, but I need your help gathering them! *Unlocks a Botanical Research item on first time completion."
364,Gettin' Yolked in the Waste,optional,LR,3,deliver,Wildspire Waste,1080,Deliver 2 Herbivore Eggs,You ready for leg day!? GOOD! You'll need 'em when you're running from that Apceros herd! Now go get me my purr-otein! *Unlocks a new Canteen ingredient on first time completion.
365,Landing the Landslide Wyvern,optional,LR,3,capture,Wildspire Waste,3600,Capture a Barroth,"Barroth dwell in the marshes of the Wildspire Waste, but details of their activities, diet, and nesting habits remain unknown. Catch one to help shed light on the issue."
331,Special Arena: Pukei-Pukei,optional,LR,3,hunt,Special Arena,2520,Hunt a Pukei-Pukei,"A new challenger: Pukei-Pukei, the Toxic Tussler, the Lickin' Machine! He won't listen when you say ""no tongues""! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
332,Special Arena: Barroth,optional,LR,3,hunt,Special Arena,2520,Hunt a Barroth,"A new challenger: Barroth, the Hulking Headbutt, the Skull-cracker! Lose to this guy, and your name is mud! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
333,Special Arena: Tobi-Kadachi,optional,LR,3,hunt,Special Arena,3240,Hunt a Tobi-Kadachi,"A new challenger: Tobi-Kadachi, the Leaping Lizard, the Bite-master! He'll clean your clock with thunder shocks! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
451,One Helluva Sinus Infection,optional,LR,4,hunt,Ancient Forest,4320,Hunt an Anjanath,Our entire department is out with the flu because of that Anjanath. How could they not be? The Ancient Forest is covered from top to bottom with that nasty mucus!
452,Gettin' Yolked in the Forest,optional,LR,4,deliver,Ancient Forest,3600,Deliver 2 Wyvern Eggs,You ready for leg day!? GOOD! You'll need 'em when you're running from that Rathian! Now go get me my purr-otein! *Unlocks a new Canteen ingredient on first time completion.
461,Royal Relocation,optional,LR,4,hunt,Wildspire Waste,4320,Hunt a Rathian,The samples I need to further my Ancient Tree research are right under a Rathian's nest. Perhaps you can move it for me? *Unlocks a Botanical Research item on first time completion.
471,It's a Crying Shamos,optional,LR,4,hunt,Coral Highlands,2520,Slay 11 Shamos,I almost feel bad for 'em. Those scrawny little monsters don't even stand a chance. Go flex on 'em while I get the goods! *Unlocks a new Canteen ingredient on first time completion.
472,A Tzitzi for Science,optional,LR,4,hunt,Coral Highlands,3240,Hunt a Tzitzi-Ya-Ku,"We've heard talk of the Coral Highlands' Tzitzi-Ya-Ku, how it emits flashes of light to blind its enemies. We must know the mechanics involved. Field team, please hunt one for our studies!"
473,Sorry You're Not Invited,optional,LR,4,hunt,Coral Highlands,4320,Hunt a Paolumu,This is sort of an odd request but there is a birthday party coming up this weekend and we're in desperate need of balloons. If you could help us out you'd be a real hero!
474,What a Bunch of Abalone,optional,LR,4,deliver,Coral Highlands,3600,Deliver 10 Super Abalone,You ready for arms day!? GOOD! You're gonna need 'em to gather these ingredients I've had my eye on! *Unlocks a new Canteen ingredient on first time completion.
475,White Monster for a White Coat,optional,LR,4,capture,Coral Highlands,5760,Capture a Paolumu,"Paolumu dwell in the Coral Highlands, but details of their activities, diet, and nesting habits remain unknown. Catch one to help shed light on this mysterious creature."
481,Persistent Pests,optional,LR,4,hunt,Rotten Vale,2520,Slay 14 Hornetaur,There's a spot that I'm certain hides the secret to new Ancient Tree growth but it's infested with Hornetaurs! *Unlocks a Botanical Research slot on first time completion.
482,A Rotten Thing To Do,optional,LR,4,hunt,Rotten Vale,3240,Hunt a Great Girros,"I was work-k-king the Rotten V-Vale when a G-G-Great Girros z-z-zapped me from behind. I g-got out in one piece, but I'm still all t-t-tingly... Finish the j-j-job for me? P-Please!"
483,A Bone to Pick,optional,LR,4,hunt,Rotten Vale,4320,Hunt a Radobaan,It's nearly impossible for any of our researchers to study fossils in the Rotten Vale because they keep getting stuck to that blasted Radobaan rolling around down there...
484,On Nightmare's Wings,optional,LR,4,hunt,Rotten Vale,2520,Slay 5 Raphinos,"Here at the Second Fleet, we've been working to develop new tools to help your hunts, but we need YOUR help gathering the materials. We're counting on you to take this quest!"
5003,Troubled Troupers,optional,LR,4,hunt,Coral Highlands,9000,Hunt 2 Tzitzi-Ya-Ku,"""We Troupers are getting batterfanged by two Tzitzi-Ya-Ku. Please har-meow-nize with our warriors to wallop them into hightailing it!"" (Translation by the Lynian Researcher)"
431,Special Arena: Anjanath,optional,LR,4,hunt,Special Arena,4320,Hunt an Anjanath,"A new challenger: Anjanath, the Jaws of Death, the Stomp-asaurus! He's just stopped by for a quick bite! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
432,Special Arena: Rathian,optional,LR,4,hunt,Special Arena,4320,Hunt a Rathian,"A new challenger: Rathian, the Queen o' Green, the Sky-borne Slasher! Don't get the lady angry; she's poison! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
433,Special Arena: Paolumu,optional,LR,4,hunt,Special Arena,4320,Hunt a Paolumu,"A new challenger: Paolumu, the Punishing Puffball, the Fear-igible! It may not be fair, but he's walking on air! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
434,Special Arena: Radobaan,optional,LR,4,hunt,Special Arena,4320,Hunt a Radobaan,"A new challenger: Radobaan, the Roto-Ravager, the Grinder! Better dodge fast, or you'll be boned! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
551,When Desire Becomes an Obsession,optional,LR,5,hunt,Ancient Forest,5400,Hunt a Rathalos,"They say that Rathalos possess the rarest of gems, but I'm having a hard to time obtaining one. I've already gone through ten or so of them with no luck. Oh well, bring me another!"
552,"Redefining the ""Power Couple""",optional,LR,5,hunt,Ancient Forest,7920,Hunt all target monsters,"Here at the Second Fleet, we've been working to develop new tools to help your hunts, but we need YOUR help gathering the materials. We're counting on you to take this quest!"
561,Twin Spires Upon the Sands,optional,LR,5,hunt,Wildspire Waste,5400,Hunt a Diablos,Did you know there's a species of insect that survives by burrowing into Diablos tails? No? Well neither do we! And we won't find out unless you go and bring us one to be sure!
571,A Humid Headache,optional,LR,5,hunt,Coral Highlands,5400,Hunt a Legiana,This weather is so humid you could cut the air with a great sword! Our department could do with some climate control and I know just the monster that can provide some relief!
572,Gone in a Flash,optional,LR,5,hunt,Coral Highlands,9000,Slay a Kirin,Why are you still here? An elder dragon's been spotted and you're just hanging out!? Hurry up before it gets away! *Unlocks a new Specialized Tool on first time completion.
581,Scratching the Itch,optional,LR,5,hunt,Rotten Vale,5400,Hunt an Odogaron,This morning I awoke to a brilliant epiphany! I have an idea for something every hunter needs after a long day out in the field...Odogaron backscratchers!
582,Man's Best Fiend,optional,LR,5,capture,Rotten Vale,7200,Capture an Odogaron,"I really miss my old pet. The days we spent going to the park, playing fetch. I long for that companionship... that loyalty. Please go out and find me a new one."
583,The Meat of the Matter,optional,LR,5,deliver,Rotten Vale,3600,Deliver 2 Lumps of Meat,You ready for back day!? GOOD! You'll need to put your back into it to get all the ingredients on this list! *Unlocks a new Canteen ingredient on first time completion.
531,Special Arena: Legiana,optional,LR,5,hunt,Special Arena,5400,Hunt a Legiana,"A new challenger: Legiana, the Slipstream Striker, the Wing leader! Remember, you can't spell flight without fight! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
532,Special Arena: Odogaron,optional,LR,5,hunt,Special Arena,5400,Hunt an Odogaron,"A new challenger: Odogaron, the Muscle Mutt, the Rex Who Wrecks! He'll bite your leg to fetch the stick inside! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
533,Special Arena: Rathalos,optional,LR,5,hunt,Special Arena,5400,Hunt a Rathalos,"A new challenger: Rathalos, the Red-Hot Raider, the Fire-starter! Forgive the fireballs; he likes his meals cooked! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
534,Special Arena: Diablos,optional,LR,5,hunt,Special Arena,5400,Hunt a Diablos,"A new challenger: Diablos, the Sandy Stampede, Biggus Diggus! Don't hang around if he's underground! Think you can go toe-to-toe—er, toe-to-claw with this heavy hitter!?"
641,Left Quite the Impression,optional,LR,6,assignment,Everstream,8280,Guide Zorah Magdaros,"Doesn't the sight of Zorah Magdaros make your heart skip a beat? Let me assure you, seeing its scales close up is just as awe-inspiring. It's imperative that we study it more."
651,Hard to Swallow,optional,HR,6,hunt,Ancient Forest,5400,Hunt a Great Jagras,"We've gotten a disturbing report of an unusually powerful Great Jagras appearing in the Ancient Forest. Begin your investigation ASAP, but beware its gluttonous appetite!"
652,Googly-eyed Green Monster,optional,HR,6,hunt,Ancient Forest,7200,Hunt a Pukei-Pukei,"We've gotten a disturbing report of an unusually powerful Pukei-Pukei appearing in the Ancient Forest. Begin your investigation ASAP, but beware its poisonous attacks!"
653,A Hair-Raising Experience,optional,HR,6,hunt,Ancient Forest,7200,Hunt a Tobi-Kadachi,"We've gotten a disturbing report of an unusually powerful Tobi-Kadachi appearing in the Ancient Forest. Begin your investigation ASAP, but beware its lightning speed!"
654,It Can't See You if You Don't Move,optional,HR,6,hunt,Ancient Forest,9000,Hunt an Anjanath,"We've gotten a disturbing report of an unusually powerful Anjanath appearing in the Ancient Forest. Begin your investigation ASAP, but beware its fiery attacks!"
655,The Sleeping Sylvan Queen,optional,HR,6,hunt,Ancient Forest,9000,Hunt a Rathian,A major change in the ecosystem is driving monsters from their natural habitats. Head to the Ancient Forest and begin your investigation of the invading Rathian immediately!
656,Stuck in Their Ways,optional,HR,6,capture,Ancient Forest,9360,Capture a Tobi-Kadachi,Those three crazy old scholars went to study a LIVE Tobi-Kadachi. Please go capture it before they hurt themselves! *Unlocks a new Canteen ingredient on first time completion.
661,Keep Your Hands to Yourself!,optional,HR,6,hunt,Wildspire Waste,5400,Hunt a Kulu-Ya-Ku,"We've gotten a disturbing report of an unusually powerful Kulu-Ya-Ku roaming the Wildspire Waste. Begin your investigation ASAP, but beware its clever attacks!"
662,A Crown of Mud and Anger,optional,HR,6,hunt,Wildspire Waste,7200,Hunt a Barroth,"We've gotten a disturbing report of an unusually powerful Barroth roaming the Wildspire Waste. Begin your investigation ASAP, but beware its mud-caked attacks!"
663,Pukei-Pukei Ambush,optional,HR,6,hunt,Wildspire Waste,7200,Hunt a Pukei-Pukei,A major change in the ecosystem is driving monsters from their natural habitats. Head to the Wildspire Waste and begin your investigation of the invading Pukei-Pukei ASAP!
665,Up to Your Waist in the Waste,optional,HR,6,hunt,Wildspire Waste,9000,Hunt a Jyuratodus,"We've gotten a disturbing report of an unusually powerful Jyuratodus appearing in the Wildspire Waste. Begin your investigation ASAP, but beware of getting stuck in the muck!"
666,"Brown Desert, Green Queen",optional,HR,6,hunt,Wildspire Waste,9000,Hunt a Rathian,"We've gotten a disturbing report of an unusually powerful Rathian appearing in the Wildspire Waste. Begin your investigation ASAP, but beware of its poisonous tail!"
667,Trespassing Troublemaker,optional,HR,6,hunt,Wildspire Waste,9000,Hunt an Anjanath,A major change in the ecosystem is driving monsters from their natural habitats. Head to the Wildspire Waste and begin your investigation of the invading Anjanath ASAP!
671,Say Cheese!,optional,HR,6,hunt,Coral Highlands,5400,Hunt a Tzitzi-Ya-Ku,"We've gotten a disturbing report of an unusually powerful Tzitzi-Ya-Ku appearing in the Coral Highlands. Begin your investigation ASAP, but beware its blinding flash attacks!"
672,Loop the Paolumu,optional,HR,6,hunt,Coral Highlands,7200,Hunt a Paolumu,"We've gotten a disturbing report of an unusually powerful Paolumu appearing in the Coral Highlands. Begin your investigation ASAP, but beware of its airburst attacks!"
681,A Tingling Taste,optional,HR,6,hunt,Rotten Vale,5400,Hunt a Great Girros,"...... Why do I want you to hunt a Great Girros? Well, I'll tell you later. I know, how devilish of me. Run along now..."
682,Stuck in a Rut,optional,HR,6,hunt,Rotten Vale,9000,Hunt a Radobaan,"We've gotten a disturbing report of an unusually powerful Radobaan appearing in the Rotten Vale. Begin your investigation ASAP, but beware of its rolling attacks!"
683,Chef Quest! Pumped to Deliver,optional,HR,6,deliver,Rotten Vale,5400,Deliver 4 Forgotten Fossils,"Now that you've worked both your upper and lower body, are you ready to put it to good use!? GOOD! Let's Work! *Unlocks a new Canteen ingredient on first time completion."
684,Chef Quest! A Rotten Request,optional,HR,6,hunt,Rotten Vale,5400,Slay 10 Girros,These little monsters think you're playing with them! Show 'em what you're made of! Let's say... 10 reps? *Unlocks a new Canteen ingredient on first time completion.
691,A Meow for Help,optional,HR,6,hunt,Elder's Recess,5400,Slay 13 Gastodon,"Every time I try to gather something for my meowster out in the Everstream, these Gastodon knock me on my tail! MEOW-CH! Can you lend a Felyne a paw here?"
692,A Scalding Scoop,optional,HR,6,hunt,Elder's Recess,6480,Slay 5 Barnos,"I was out on assignment when a Barnos barfed something at me. Whatever it was it was HOT, painfully hot! But also the sells-lots-of-copies kind of hot! Help me get my story!"
693,Dodogama Drama,optional,HR,6,hunt,Elder's Recess,9000,Hunt a Dodogama,"Hey, we've gotten a report of an unusually fine monster specimen roaming around. We need to seize on this opportunity, so we need you to investigate ASAP!"
694,Chef Quest! Gajalaka Lockdown,optional,HR,6,hunt,Elder's Recess,5400,Defeat 10 Gajalaka,Meow my god! Are these lil' guys tryin' to flex on you? Show 'em what you're packin'! Let's say... 10 reps! *Unlocks a new Canteen ingredient on first time completion.
631,Special Arena: HR Pukei-Pukei,optional,HR,6,hunt,Special Arena,7200,Hunt a Pukei-Pukei,"A new challenger: Pukei-Pukei, the Toxic Tussler, the Lickin' Machine! He won't listen when you say ""no tongues""! The gloves are off—not that we have gloves that big..."
632,Special Arena: HR Barroth,optional,HR,6,hunt,Special Arena,7200,Hunt a Barroth,"A new challenger: Barroth, the Hulking Headbutt, the Skullcracker! Lose to this guy, and your name is mud! The gloves are off—not that we have gloves that big..."
633,Special Arena: HR Tobi-Kadachi,optional,HR,6,hunt,Special Arena,7200,Hunt a Tobi-Kadachi,"A new challenger: Tobi-Kadachi, the Leaping Lizard, the Bitemaster! He'll clean your clock with thunder shocks! The gloves are off—not that we have gloves that big..."
634,Special Arena: HR Anjanath,optional,HR,6,hunt,Special Arena,9000,Hunt an Anjanath,"A new challenger: Anjanath, the Jaws of Death, the Stompasaurus! He's just stopped by for a quick bite! The gloves are off—not that we have gloves that big..."
635,Special Arena: HR Rathian,optional,HR,6,hunt,Special Arena,9000,Hunt a Rathian,"A new challenger: Rathian, the Queen o' Green, the Skyborne Slasher! Don't get the lady angry; she's poison! The gloves are off—not that we have gloves that big..."
636,Special Arena: HR Paolumu,optional,HR,6,hunt,Special Arena,7200,Hunt a Paolumu,"A new challenger: Paolumu, the Punishing Puffball, the Fearigible! It may not be fair, but he's walking on air! The gloves are off—not that we have gloves that big..."
637,Special Arena: HR Radobaan,optional,HR,6,hunt,Special Arena,9000,Hunt a Radobaan,"A new challenger: Radobaan, the Roto-Ravager, the Grinder! Better dodge fast, or you'll be boned! The gloves are off—not that we have gloves that big..."
751,Rathalos Rematch,optional,HR,7,hunt,Ancient Forest,12600,Hunt a Rathalos,We've gotten a disturbing report of another unusually powerful Rathalos in the Ancient Forest. Let that red beast know who REALLY stands atop the food chain here!
752,Rathalos in Blue,optional,HR,7,hunt,Ancient Forest,14400,Hunt an Azure Rathalos,"The field team has spotted an Azure Rathalos patroling the skies. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!"
753,The Red and Blue Crew,optional,HR,7,hunt,Ancient Forest,21600,Hunt all target monsters,"Here at the Second Fleet, we've been working to develop new tools to help your hunts, but we need YOUR help gathering the materials. We're counting on you to take this quest!"
761,Pretty In Pink,optional,HR,7,hunt,Wildspire Waste,12600,Hunt a Pink Rathian,"The field team has spotted a Pink Rathian stalking the local wildlife. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!"
762,"Well, That Diablos!",optional,HR,7,hunt,Wildspire Waste,12600,Hunt a Diablos,"We've gotten a disturbing report of an unusually powerful Diablos appearing in the Wildspire Waste. Begin your investigation ASAP, but beware of its charging attacks!"
763,Two-horned Hostility,optional,HR,7,hunt,Wildspire Waste,14400,Hunt a Black Diablos,"Hey, we've gotten a report of an unusually fine monster specimen roaming around. We need to seize on this opportunity, so we need you to investigate ASAP!"
764,RRRRRumble in the Waste!,optional,HR,7,hunt,Wildspire Waste,21600,Hunt all target monsters,*sigh* I've already told you what I want you to do. Run along now and complete this quest if you want your new toy. *Unlocks a new Specialized Tool on first time completion.
771,A Cherry Wind upon the Reefs,optional,HR,7,hunt,Coral Highlands,12600,Hunt a Pink Rathian,"The field team has spotted a Pink Rathian stalking the local wildlife. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!"
772,Legiana: Highlands Royalty,optional,HR,7,hunt,Coral Highlands,12600,Hunt a Legiana,"We've gotten a disturbing report of an unusually powerful Legiana appearing in the Coral Highlands. Begin your investigation ASAP, but beware its swift and icy attacks!"
773,A Sore Site,optional,HR,7,hunt,Coral Highlands,12600,Hunt an Odogaron,"Ugh! Every time I go out to the highlands to observe my beloved Paolumu, that gnarly monster is there! Please do something! *Unlocks a new Canteen ingredient on first time completion."
774,Talons of Ire and Ice,optional,HR,7,hunt,Coral Highlands,20160,Hunt all target monsters,"There's a spot I'm certain hides the secret to growing Ancient Trees. Unfortunately, two nasty monsters are patrolling that area. *Unlocks a Botanical Research slot on first time completion."
781,Odogaron Unleashed,optional,HR,7,hunt,Rotten Vale,12600,Hunt an Odogaron,"We've gotten a disturbing report of an unusually powerful Odogaron appearing in the Rotten Vale. Begin your investigation ASAP, but beware of its powerful claws!"
791,"Lavasioth, Monster of Magma",optional,HR,7,hunt,Elder's Recess,12600,Hunt a Lavasioth,"Hey, we've gotten a report of an unusually fine monster specimen roaming around. We need to seize on this opportunity, so we need you to investigate ASAP!"
792,Ore-eating Occupier,optional,HR,7,hunt,Elder's Recess,14400,Hunt an Uragaan,"We've gotten a report of an unusually fine monster specimen roaming around. We need to seize on this opportunity, so we need you to investigate ASAP!"
793,Ruler of the Azure Skies,optional,HR,7,hunt,Elder's Recess,14400,Hunt an Azure Rathalos,"The field team has spotted an Azure Rathalos patroling the skies. Subspecies like these are highly valuable to the Commission's research efforts. Get going, hunter!"
794,Bazelgeuse in the Field of Fire,optional,HR,7,hunt,Elder's Recess,14400,Hunt a Bazelgeuse,"That eccentric trio has gone and done it again! Now that they've discovered the location of a Bazelgeuse, they're off to study it! Please hunt it before they get themselves hurt!"
795,A Fiery Convergence,optional,HR,7,hunt,Elder's Recess,21600,Hunt all target monsters,"Here at the Second Fleet, we've been working to develop new tools to help your hunts, but we need YOUR help gathering the materials. We're counting on you to take this quest!"
738,Special Arena: HR Black Diablos,optional,HR,7,hunt,Special Arena,14400,Hunt a Black Diablos,"A new challenger: Black Diablos, the Dark Destroyer, the Horn Express! Run, don't walk, from this furious fiend! The gloves are off—not that we have gloves that big..."
