monster_id,name_en,ecology_en,size,pitfall_trap,shock_trap,vine_trap,description_en
26,Paolumu,Flying Wyvern,large,TRUE,TRUE,TRUE,"Paolumu feast on eggs found in the Coral Highlands. They are able to float through the air using unique sacs in their bodies, and attack with their extremely hard tails."
27,Great Girros,Fanged Wyvern,large,TRUE,TRUE,TRUE,"A monster that scavenges for meals dropped from the Coral Highlands. It acts as the alpha leader of a Girros pack, and sports giant fangs that paralyze its prey."
28,Radobaan,Brute Wyvern,large,TRUE,TRUE,TRUE,"A gigantic brute wyvern that eats the bones of carcasses found in the Rotten Vale, using some of it as armor. It also rolls into a ball as a form of attack and transportation."
29,Legiana,Flying Wyvern,large,TRUE,TRUE,TRUE,"The apex monster of the Coral Highlands, whose diet primarily consists of Raphinos. It emits a chilling wind from its body, which dulls its prey's ability to escape."
30,Odogaron,Fanged Wyvern,large,TRUE,TRUE,TRUE,"A terrifying monster that scours the Rotten Vale for carrion. Its highly aggressive nature means that anything, be it monster or man, is a potential meal."
31,Rathalos,Flying Wyvern,large,TRUE,TRUE,TRUE,"The apex monster of the Ancient Forest, also known as the ""King of the Skies."" A terrible wyvern that descends upon invaders, attacking with poison claws and fiery breath."
32,Diablos,Flying Wyvern,large,TRUE,TRUE,TRUE,"The apex monster of the Wildspire Waste. A menacing, territorial beast that lurks underground. Loud noises will cause it to lunge out of the sand in search of prey."
33,Kirin,Elder Dragon,large,,,,Kirin are so rarely sighted that little is known of their ecology. It's been said they envelop themselves in pure electricity when they are provoked.
34,Zorah Magdaros,Elder Dragon,large,,,,"An elder dragon that rises from the earth like a volcano. Where it's headed, and why, the Research Commission has yet to figure out."
35,Dodogama,Fanged Wyvern,large,TRUE,TRUE,TRUE,A monster that devours rocks as its primary diet. The crystals it devours mix with its saliva to produce explosive minerals that it can spit at its enemies.
36,Pink Rathian,Flying Wyvern,large,TRUE,TRUE,TRUE,"A subspecies with vibrant pink scales. Pink Rathians wield their toxic tails more deftly than normal Rathians, weakening prey with poison before moving in for the kill."
37,Bazelgeuse,Flying Wyvern,large,TRUE,TRUE,TRUE,A nefarious flying wyvern that travels the New World in search of prey. It scatters explosive scales over a wide area to prey on whatever gets caught in the blast.
38,Deviljho,Brute Wyvern,large,TRUE,TRUE,TRUE,"Due to its enhanced metabolism, Deviljho must constantly seek out prey. It is extremely violent, and known to snatch up large monsters in its powerful maw and flail them around."
39,Lavasioth,Piscine Wyvern,large,TRUE,TRUE,TRUE,Lavasioths utilize molten lava as armor. They are extremely aggressive and will attack without prejudice until the threat has been eliminated.
40,Uragaan,Brute Wyvern,large,TRUE,TRUE,TRUE,"Large brute wyverns that feed on ore, using their mighty jaws to crush solid rock to powder. They've been known to confront Lavasioths over territory disputes."
41,Azure Rathalos,Flying Wyvern,large,TRUE,TRUE,TRUE,"An azure-colored subspecies of Rathalos. More mobile than their standard cousins, they locate prey from the air and quickly swoop in for the kill."
42,Black Diablos,Flying Wyvern,large,TRUE,TRUE,TRUE,These black-shelled Diablos are actually female Diablos in heat. The color signals their aggressiveness and heightened hostility to other creatures in their habitat.
43,Nergigante,Elder Dragon,large,,,,A terrible elder dragon that appears when other elders are in the vicinity. Its penchant for destruction is well-documented.
44,Teostra,Elder Dragon,large,,,,Brutal elder dragons wreathed in flames that spit blazing fire. Teostra are of such a fierce and deadly nature that the Guild closely monitors their movements.
49,Lunastra,Elder Dragon,large,,,,"A rare female Elder Dragon that litters the air with hot blue dust. Reports of it traveling with her mate, Teostra, are still unconfirmed."
45,Kushala Daora,Elder Dragon,large,,,,"An elder dragon that shields itself with fierce winds, preventing anyone from approaching it. Its skin consists of hard, metallic scales."
46,Vaal Hazak,Elder Dragon,large,,,,A grotesque elder dragon that inhabits the deepest part of the Rotten Vale. It uses the fatal vapor of the vale in what appears to be a symbiotic relationship.
48,Kulve Taroth,Elder Dragon,large,,,,"An elder dragon that protects itself with a glittering coat of metal. Its ecology and coat differ with each appearance, thus the need for a thorough investigation."
47,Xeno'jiiva,Elder Dragon,large,,,,"A new species discovered in the depths of the Elder's Recess. Its relationship to the other elder dragons is unclear, as is its ecology."
111,Beotodus,Piscine Wyvern,large,TRUE,TRUE,TRUE,This piscine monster's wedge-shaped head allows it to freely swim through the tundra snow. Frequently seen flinging snow at prey.
112,Banbaro,Brute Wyvern,large,TRUE,TRUE,TRUE,A monster marked by its furious charge and by the majestic twin horns that uproot trees and gouge at the earth as it runs.
113,Viper Tobi-Kadachi,Fanged Wyvern,large,TRUE,TRUE,TRUE,The tail of this subspecies secretes a toxin while its fangs paralyze prey. It can also glide without climbing trees.
114,Nightshade Paolumu,Flying Wyvern,large,TRUE,TRUE,TRUE,A Paolumu subspecies capable of putting prey to sleep. It produces a powerful sedative gas stored within its throat sac that it can expel and scatter to knock unwary foes out.
115,Coral Pukei-Pukei,Bird Wyvern,large,TRUE,TRUE,TRUE,"A bird wyvern that stockpiles water inside its body, fortified by the plant life it consumes. When threatened, it can expel a powerful stream from its mouth or tail."
116,Barioth,Flying Wyvern,large,TRUE,TRUE,TRUE,The snow-white flying wyvern with huge tusks found in the frozen tundra. It uses its forelegs and tail to traverse ice with ease.
117,Nargacuga,Flying Wyvern,large,TRUE,TRUE,TRUE,"Extremely agile, especially on the ground, this obsidian-furred flying wyvern moves with explosive bursts of speed."
118,Glavenus,Brute Wyvern,large,TRUE,TRUE,TRUE,"A brute wyvern that wields its heavy, blue tail like a blade. It grows hotter and more keen with each strike until it glows red."
119,Tigrex,Flying Wyvern,large,TRUE,TRUE,TRUE,"A flying wyvern straight out of prehistory, known for its deafening roar and powerful legs that drive its overwhelming charge."
120,Brachydios,Brute Wyvern,large,TRUE,TRUE,TRUE,"This marine-blue brute wyvern uses its saliva to prime the sticky slime coating its massive arms, rendering it highly explosive."
121,Shrieking Legiana,Flying Wyvern,large,TRUE,TRUE,TRUE,"A Legiana variant shrouded in white frost. It specializes in freezing prey with the powerful chill it emits, then swooping down to strike at them from overhead."
122,Fulgur Anjanath,Brute Wyvern,large,TRUE,TRUE,TRUE,"Feared as the ""Thunderjaw Wyvern,"" this Anjanath subspecies electrifies its jaws and dorsal membrane with every blow."
123,Acidic Glavenus,Brute Wyvern,large,TRUE,TRUE,TRUE,"A subspecies of Glavenus found in the Rotten Vale. A corrosive fluid has crystallized on its tail, spraying acid with each swing."
124,Ebony Odogaron,Fanged Wyvern,large,TRUE,TRUE,TRUE,"This Odogaron subspecies is forever on the prowl for its next meal, and is often seen carrying fresh kills in its mouth. Reports indicate it goes into a frenzy upon eating."
125,Velkhana,Elder Dragon,large,,,,"An elder dragon said to freeze all in its path. According to legend, it can control the cold, and use its freezing breath to conjure massive spires of ice out of nowhere."
126,Seething Bazelgeuse,Flying Wyvern,large,TRUE,TRUE,TRUE,"The scales of this Bazelgeuse variant burn hotter than normal, increasing in number and explosion radius as time passes."
127,Blackveil Vaal Hazak,Elder Dragon,large,,,,A Vaal Hazak variant encrusted with spores that spew a torrent of toxic effluvium at any who draw close.
128,Namielle,Elder Dragon,large,,,,"An elder dragon coated in water and able to freely control lightning. A unique organ allows it to pump electricity into the pools of water it creates, causing massive bursts of steam."
129,Savage Deviljho,Brute Wyvern,large,TRUE,TRUE,TRUE,"A mutated Deviljho variant, driven mad by its overpowering hunger. It will attempt to feed on all it sees."
130,Ruiner Nergigante,Elder Dragon,large,,,,"Countless battles have only hardened this Nergigante variant. In addition to healing, its spikes grow tougher as it loses health."
131,Shara Ishvalda,Elder Dragon,large,,,,"A mysterious elder dragon able to manipulate the earth itself. Vibrations from its wingtips reshape the earth, denying hunters footing."
132,Zinogre,Fanged Wyvern,large,TRUE,TRUE,TRUE,Lightning courses through the fur and unique plating of this fanged wyvern. It is most deadly in its supercharged state.
133,Yian Garuga,Bird Wyvern,large,TRUE,TRUE,TRUE,"A short-tempered bird wyvern marked by its hard, black scales and impressive mane. It strikes with its distinctive beak."
134,Scarred Yian Garuga,Bird Wyvern,large,TRUE,TRUE,TRUE,A tempered Yian Garuga that survived a grueling battle with just a scar on its head. Be careful of its successive breath attacks.
135,Brute Tigrex,Flying Wyvern,large,TRUE,TRUE,TRUE,"Blackish brown scales and a stronger roar set this Tigrex subspecies apart. Extremely aggressive, even by Tigrex standards."
136,Gold Rathian,Flying Wyvern,large,TRUE,TRUE,TRUE,"A rare gleaming gold-scaled Rathian species. When wreathed in hellfire, its breath grows more lethal and its tail swipes broader."
137,Silver Rathalos,Flying Wyvern,large,TRUE,TRUE,TRUE,"A rare silver-scaled Rathalos species. When wreathed in hellfire, its breath grows more lethal and it gains a new set of attacks."
138,Rajang,Fanged Beast,large,TRUE,TRUE,TRUE,An ultra-aggressive creature that few have a chance of surviving against. Sports powerful arms that pack a punch. Turns gold when angry.
139,Stygian Zinogre,Fanged Wyvern,large,TRUE,TRUE,TRUE,"Has a symbiotic relationship with Dracophage Bugs, which it releases like bullets. Becomes even more dangerous when covered in light."
145,Frostfang Barioth,Flying Wyvern,large,TRUE,TRUE,TRUE,"A Barioth variant capable of spewing a sub-zero breath attack that it uses to slow down prey. Be careful, as this attack can freeze you as well."
140,Safi'jiiva,Elder Dragon,large,,,,The fully-grown form of Xeno'jiiva. It absorbs energy from its environment to heal itself and change the ecosystem.
142,Furious Rajang,Fanged Beast,large,TRUE,TRUE,TRUE,A Rajang variant covered in golden fur. Utilizes severe ranged and wall-based attacks. It enters a glowing golden state when enraged.
143,Raging Brachydios,Brute Wyvern,large,TRUE,TRUE,TRUE,A Brachydios variant that is much larger than the normal species. The slime on its body will activate over time and detonate.
144,Alatreon,Elder Dragon,large,,,,"Known as a symbol of destruction, people fear even uttering its name. It's rumored to control all of the elements, but most, if not all, records of its existence have been burned."
146,Fatalis,Elder Dragon,large,,,,"A legendary black dragon known only as Fatalis. Rumored to have destroyed a kingdom in a single night, and has taken its castle for a roost. As Long as its horns are intact, overcoming its final form's breath attack may be impossible. Cannons and ballistae can topple it. Flinch shots when its flying or standing will lower its head"
50,Behemoth,Elder Dragon,large,,,,A powerful beast from another world. Its large horns and muscular frame defy nature. Unique strategies are required to battle it.
51,Leshen,Relict,large,,,,"Dwelling deep inside the forest, these creatures use their innate magic to control all flora and fauna within their territory."
52,Ancient Leshen,Relict,large,,,,An old leshen that arrived through a portal to assume control over the Ancient Forest. Sometimes revered as an indigenous deity.
