item_id,name_en,category,subcategory,rarity,buy_price,sell_price,carry_limit,points,icon_name,icon_color,description_en
29,Demon Powder,item,,4,,315,3,,Sac,Red,A mysterious powder that produces a cloud around the area that temporarily strengthens attacks.
30,Hardshell Powder,item,,4,,315,3,,Sac,Beige,A mysterious powder that produces a cloud around the area that temporarily strengthens defense.
31,Honey,item,,2,,45,10,,Webbing,Beige,Highly nutritious honey. Combine this with Potions to craft Mega Potions for maximum potency.
32,Herb,item,,1,,2,10,,Herb,Green,A primary ingredient in potions.
33,Antidote Herb,item,,1,,2,10,,Herb,Blue,A primary ingredient in antidotes.
34,Fire Herb,item,,2,,4,20,,Herb,Orange,"A wondrous, flammable plant. Useful for crafting explosives."
35,Flowfern,item,,1,,4,20,,Herb,DarkBlue,This plant's leaves store a great amount of water. A component for making Water Ammo.
36,Snow Herb,item,,2,,6,20,,Herb,White,A plant that radiates ice-cold air. Use in combinations to create freeze ammo.
37,Sleep Herb,item,,1,,5,10,,Herb,Cyan,A plant containing sleeping agents. Used to craft tranquilizers.
38,Ivy,item,,1,,8,10,,Herb,DarkGreen,A lightweight and extremely strong plant. Used to make nets for pitfall traps.
1061,Hot Pepper,item,,1,,14,10,,Herb,DarkRed,A plant used for making hot drinks.
1062,Gloamgrass Bud,item,,4,,40,4,,Herb,LightBeige,A plant with healing properties. Combine it with a Godbug to bring out its full potency.
39,Smokenut,item,,1,,4,10,,Seed,White,A nut that produces a copious amount of smoke. Combine with other items to create smoke with various properties.
40,Dragonfell Berry,item,,4,,78,10,,Seed,DarkRed,"A mysterious berry, rumored for eons to be loathed by dragons. Required to craft Dragon Ammo."
41,Blue Mushroom,item,,2,,2,10,,Mushroom,Blue,A mushroom infused with power-enhancing effects. Used in restorative items.
42,Mandragora,item,,3,,40,10,,Mushroom,Beige,A dangerous fungus said to draw the life out of people. Beware. Required to craft Max Potions.
43,Nitroshroom,item,,2,,6,20,,Mushroom,Red,A hard-to-find mushroom with the power to generate blazing heat. Required to craft Gunpowder.
44,Devil's Blight,item,,2,,60,10,,Mushroom,DarkRed,A very rare fungus that pulses with extreme heat. Add to a barrel bomb for a dramatically stronger blast.
45,Parashroom,item,,3,,15,10,,Mushroom,Yellow,A mushroom that induces paralysis. Required to craft Tranq Bombs.
46,Toadstool,item,,2,,8,10,,Mushroom,Violet,A poisonous fungus. Can be used as a toxin for knives.
47,Exciteshroom,item,,3,,18,10,,Mushroom,DarkGreen,This one has a very strange aroma. Is it edible? Only one way to find out! Required to craft Farcasters.
48,Chillshroom,item,,3,,18,10,,Mushroom,White,This mushroom is a primary ingredient in cool drinks.
49,Bitterbug,item,,1,,2,10,,Bug,Blue,A sharp-tasting bug with innate healing abilities. Used as an ingredient in many medicines.
50,Flashbug,item,,2,,48,10,,Bug,Gold,An insect that emits a powerful flash when it dies. Required to craft Flash Pods.
51,Godbug,item,,4,,120,10,,Bug,White,An insect said to live a millennium. Combine it with other items to add their properties to the powder.
52,Thunderbug,item,,4,,80,10,,Bug,Yellow,An insect that emits electricity when struck. Required to craft Shock Traps and Thunder Ammo.
53,Baitbug,item,,3,,2,10,,Bait,Pink,"An insect used as fishing bait. A fish favorite, it practically races down the nearest gilly gullet."
54,Kelbi Horn,item,,4,,52,99,,Fang,Green,"While not practical when forging equipment, Kelbi horns are a vital component of many items."
55,Dash Extract,item,,4,,56,20,,Liquid,Gold,A mysterious substance culled from certain monsters that increases endurance.
56,Nourishing Extract,item,,4,,122,20,,Liquid,White,Can be obtained from certain large monsters. Has the ability to amplify the effects of certain medicines.
57,Screamer Sac,item,,2,,15,10,,Sac,Gray,A monster organ that emits an earsplitting sonic blast when ruptured. Used to craft screamer pods.
58,Catalyst,item,,2,,48,5,,Sac,DarkGreen,Works with other materials to enhance their effects. Cannot be used by itself.
59,Tranq Bomb,item,,3,,35,8,,Smoke,Red,A hand grenade used to capture monsters ensnared in traps. Can be slammed against the ground.
60,Flash Pod,item,,2,,57,3,,Slinger,Gold,Slinger ammo that flashes brightly on impact. Fire it right under a monster's nose to blind it.
61,Screamer Pod,item,,2,,45,3,,Slinger,Gray,"Used as ammo for your slinger. Emits a harsh, high-frequency sound that can disrupt sensitive monsters."
62,Dung Pod,item,,2,,20,10,,Slinger,Beige,Slinger ammo that releases a strong odor on impact. Causes certain monsters to flee.
63,Smoke Bomb,item,,2,,44,3,,Smoke,White,Creates a large cloud of smoke wherever it lands.
64,Poison Smoke Bomb,item,,2,,60,5,,Smoke,Violet,Releases a toxic cloud of mist when used. Also popular as a household bug bomb.
65,Farcaster,item,,3,,30,1,,Smoke,Green,Call for a wingdrake to transport you to the nearest camp. Can also be used during battles.
1339,Banishing Ball,item,,9,,40,10,,Smoke,Beige,
66,Raw Meat,item,,1,,5,10,,Meat,Red,"Meat carved from a monster. Can be cooked, combined, or used to set a trap."
67,Poisoned Meat,item,,2,,19,10,,Meat,Violet,Raw meat that poisons whatever eats it. Makes great bait for traps.
68,Tinged Meat,item,,2,,30,10,,Meat,Yellow,Raw meat that paralyzes whatever eats it. Makes great bait for traps.
69,Drugged Meat,item,,2,,32,10,,Meat,Cyan,Raw meat that puts whatever eats it to sleep. Makes great bait for traps.
70,Gunpowder,item,,2,,45,20,,Sac,Orange,A dangerous substance that explodes when struck or heated.
71,Small Barrel,item,,1,80,8,10,,Barrel,Gold,"A small, empty barrel."
72,Barrel Bomb,item,,2,156,16,10,,BarrelBomb,Gold,A small time bomb.
73,Bounce Bomb,item,,2,150,18,5,,BarrelBomb,Cyan,Launches into the air when set. This modified bomb requires skill to use.
74,Mega Bounce Bomb,item,,4,,68,5,,BarrelBomb,Cyan,An improved version of the bounce bomb. Requires some skill to use.
75,Large Barrel,item,,2,210,21,5,,Barrel,Orange,"A large, empty barrel. Combine with gunpowder to make it into a bomb."
76,Large Barrel Bomb,item,,3,518,52,2,,BarrelBomb,Orange,A powerful bomb triggered by external physical impact.
77,Mega Barrel Bomb,item,,4,,80,2,,BarrelBomb,Orange,An upgraded large barrel bomb. Effective against large monsters.
78,Spider Web,item,,1,,6,10,,Web,White,A very sticky web. Used to craft pitfall traps.
79,Net,item,,2,,54,10,,Web,DarkGreen,A sturdy net that supports a certain amount of weight without breaking. Perfect for pitfall traps.
80,Trap Tool,item,,3,200,20,2,,TrapTool,White,A must-have item for putting together pitfall traps and other kinds of traps.
81,Pitfall Trap,item,,3,,200,1,,Trap,DarkGreen,A trap for catching certain large monsters. It is tripped by a heavy weight.
82,Shock Trap,item,,3,,160,1,,Trap,Yellow,A trap that immobilizes a target. Use it to capture monsters.
83,Rolled-up Dung,item,,1,,10,20,,Dung,DarkBeige,A ball of condensed monster dung. Used to make dung pods for your slinger.
84,Dung,item,,1,,1,10,,Dung,DarkBeige,Exudes a prodigious smell. Used to make ammo for your slinger called dung pods.
85,Arowana Bait,item,,2,150,15,10,,Bait,Green,A ball of bait favored by fish of the Arowana family.
86,Gunpowderfish Bait,item,,2,150,15,10,,Bait,White,A ball of bait favored by fish of the Gunpowderfish family.
87,Goldenfish Bait,item,,2,300,30,10,,Bait,Gold,A ball of bait favored by fish of the Goldenfish family.
88,Boomerang,item,,4,150,15,5,,Boomerang,Gold,An unusually-shaped weapon from abroad that returns to its user when thrown.
89,Binoculars,item,,1,50,5,1,,Binoculars,Gray,Allows you to see farther and observe from a distance.
90,Powercharm,item,,5,36000,3600,1,,Sac,Red,An amulet that strengthens attacks. Just carrying this gives you demonic strength.
91,Powertalon,item,,5,,6840,1,,Fang,Red,A charm that strengthens attacks. Its effects are amplified by the dragon parts it contains.
92,Armorcharm,item,,5,24000,2400,1,,Sac,Beige,An amulet that increases defense. Just carrying this hardens your skin like stone.
93,Armortalon,item,,5,,5040,1,,Fang,Beige,A charm that increases defense. Its effects are amplified by the dragon parts it contains.
94,Needleberry,item,,1,,1,99,,Husk,DarkGreen,A nut covered in needle-like spines. Used to make spread ammo.
95,Blastnut,item,,1,,4,30,,Husk,Beige,A nut used to make sticky ammo.
96,Dragonstrike Nut,item,,2,,12,5,,Husk,DarkBeige,A nut that explodes on impact. Used to make wyvern ammo.
97,Slashberry,item,,1,,4,30,,Husk,White,Used to make slicing ammo.
98,Latchberry,item,,1,,4,99,,Husk,Blue,A nut that bears a spiral groove. Used to make pierce ammo.
99,Bomberry,item,,2,,12,5,,Husk,DarkRed,A nut that ruptures on impact. Used to make cluster bombs.
100,Flamenut,item,,2,,12,80,,Seed,Gray,Used to make gunpowder that increases ammo firepower.
101,Blazenut,item,,2,,12,60,,Seed,Gray,Used to make gunpowder that greatly increases ammo firepower.
102,Gunpowder Level 2,item,,2,16,1,80,,Sac,Gray,Combustible powder. Combine with level 1 ammo to raise its level.
103,Gunpowder Level 3,item,,2,30,3,80,,Sac,Gray,Highly combustible powder. Combine with level 1 ammo to raise its level.
1209,Blossom Fireworks,item,,3,,7,10,,BarrelBomb,Pink,Fireworks you receive for attending the Spring Blossom Fest. Light up the sky and enjoy the festivities!
1210,Twilight Fireworks,item,,3,,7,10,,BarrelBomb,Blue,Fireworks you receive for attending the Summer Twilight Fest. Enjoy the summer heat with a bang!
1211,Harvest Fireworks,item,,3,,7,10,,BarrelBomb,LightBeige,Fireworks you receive for attending the Autumn Harvest Fest. Dance till the ground lights up in a blaze!
1212,Star Fireworks,item,,3,,7,10,,BarrelBomb,White,Fireworks you receive for attending the Winter Star Fest. Enjoy the festivities with a bang!
1213,Appreciation Fireworks,item,,3,,7,10,,BarrelBomb,Gold,Fireworks you receive for attending the Appreciation Fest. Show your thanks by lighting these fireworks!
114,Empty Phial,item,,1,5,1,99,,EmptyBottle,White,"A regular old empty phial. Nothing more, nothing less."
104,Whetfish Fin,item,,2,,45,10,,Scale,Gold,"A fish fin used to sharpen weapons. Restores sharpness greatly, but good for fewer uses than a whetstone."
105,Whetfish Fin+,item,,4,,45,5,,Scale,Gold,"A fish fin used to sharpen weapons. Works better than a whetstone, and can be reused if you're lucky."
106,Sushifish Scale,item,,2,,45,10,,Scale,Beige,A scale from a Sushifish. Eat to restore a small amount of health. Also works to treat bleeding.
107,Great Sushifish Scale,item,,4,,45,5,,Scale,Beige,"Scale from a Great Sushifish. Eat to get large health boost, a natural healing boost, and treat bleeding."
108,Gunpowderfish Scale,item,,3,,150,5,,Scale,Gray,The scales of a Gunpowderfish. Combine with a large barrel bomb to dramatically increase its firepower.
109,Great Gunpowderfish Scale,item,,4,,150,5,,Scale,Gray,The scales of a Great Gunpowderfish. Combine with a large barrel bomb to make a mega barrel bomb.
110,Burst Arowana Scale,item,,2,,45,5,,Scale,Green,The scales of a Burst Arowana. Combine with fire herb to make a large amount of level 2 gunpowder.
111,Great Burst Arowana Scale,item,,4,,45,5,,Scale,Green,The scales of a Great Burst Arowana. Combine with fire herb to make a vast amount of level 2 gunpowder.
112,Bomb Arowana Scale,item,,2,,135,5,,Scale,Violet,The scales of a Bomb Arowana. Combine with fire herb to make a large amount of Lv3 gunpowder.
113,Great Bomb Arowana Scale,item,,4,,135,5,,Scale,Violet,The scales of a Great Bomb Arowana. Combine with fire herb to make a vast amount of Lv3 gunpowder.
115,Iron Ore,material,,4,,60,,,Ore,Gray,Ore that can be smelted into metal and used for many different purposes.
116,Machalite Ore,material,,4,,160,,,Ore,Blue,Ore that's more difficult to procure than Iron Ore. Produces fine metal.
117,Dragonite Ore,material,,4,,480,,,Ore,Green,An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.
118,Carbalite Ore,material,,6,,680,,,Ore,Violet,"Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal."
119,Fucium Ore,material,,6,,1020,,,Ore,Pink,"Ore obtained from the Elder's Recess. A mysterious metal, capable of fusing nearly any two materials together."
682,Eltalite Ore,material,,9,,1280,,,Ore,Red,Ore obtained from mining outcrops. This transcendent ore refines into metal even stronger than carbalite.
683,Meldspar Ore,material,,9,,1920,,,Ore,White,"Ore often found in the Rotten Vale. Malleable but strong, it is broadly used in creating alloys for crafting."
120,Earth Crystal,material,,4,,80,,,Ore,White,Crystallized microbes prized as an abrasive when forging weapons. Mainly found in the Wildspire Waste.
121,Coral Crystal,material,,4,,600,,,Ore,Blue,Crystal prized at the Smithy for use in high-grade abrasives. Mainly found in the Coral Highlands.
122,Dragonvein Crystal,material,,6,,800,,,Ore,Red,Mined from high rank areas. Many expect this newly-discovered crystal to usher in a new era of metalwork.
684,Spiritvein Crystal,material,,9,,1280,,,Ore,Violet,Mined from master rank areas. Little is known about these crystals save the complexity of their brilliance.
123,Lightcrystal,material,,5,,1150,,,Ore,Gray,A precious and extremely hard substance with a faint glow. Sometimes used for crafting tools.
124,Novacrystal,material,,7,,2440,,,Ore,White,"High quality Lightcrystal. Highly coveted for its rarity, it's used for only the finest of metalworking."
784,Purecrystal,material,,10,,7320,,,Ore,Cyan,Very rare lightcrystal. Used by the forge workers to craft their tools due to its incredible hardness.
125,Firecell Stone,material,,7,,1720,,,Ore,Beige,A magma-like deposit that only trained hands can work with. Armor made from it is first-class.
695,Bathycite Ore,material,,9,,1620,,,Ore,Pink,Ore from the Coral Highlands. Formed by millennia of pressure acting upon the bones of ancient organisms.
696,Gracium,material,,9,,1540,,,Ore,Blue,Ore from the Hoarfrost Reach. When the light catches this rare and useful metal it takes on a pale blue shine.
126,Aquacore Ore,material,,4,,400,,,CharmOre,Blue,A valuable mineral used to create charms. Gives off a vibrant glow that mirrors the ocean.
127,Spiritcore Ore,material,,6,,800,,,CharmOre,Gray,"A valuable mineral used to create charms. Gives off a warm, sunny glow."
128,Dreamcore Ore,material,,7,,1200,,,CharmOre,Violet,A valuable mineral used to create charms. Gives off a blazing glow reminiscent of a bonfire.
129,Dragoncore Ore,material,,8,,2000,,,CharmOre,Gold,A valuable mineral used to create charms. Gives off a mysterious glow that grants the holder sagely wisdom.
1222,Phantomcore Ore,material,,10,,3200,,,CharmOre,Cyan,A valuable mineral used to create charms. Its otherworldly shimmering speaks to the power it contains.
1223,Shadowcore Ore,material,,11,,4000,,,CharmOre,DarkPurple,A valuable mineral used to create charms. Its shine somehow saps the light away from its surroundings.
135,Sturdy Bone,material,,4,,500,,,Bone,White,A bone used as crafting material. Can be found in bonepiles in the Coral Highlands and Rotten Vale.
136,Quality Bone,material,,6,,750,,,Bone,White,A bone used as crafting material. Its ease of use and hardness allow it to be shaped into better gear.
685,Thick Bone,material,,9,,1200,,,Bone,White,"Very rare bone used as crafting material. While laborious to work, it yields results like no other."
137,Ancient Bone,material,,4,,400,,,Bone,Green,A bone used as crafting material. Can be found in bonepiles in the Ancient Forest. Its size evokes a certain primal quality.
138,Boulder Bone,material,,4,,400,,,Bone,Gold,A bone used as crafting material. Can be found in bonepiles in the Wildspire Waste. Its size evokes a certain primal quality.
139,Coral Bone,material,,4,,800,,,Bone,Pink,A bone used as crafting material. Can be found in bonepiles in the Coral Highlands. Its size evokes a certain primal quality.
140,Warped Bone,material,,4,,800,,,Bone,DarkBeige,A bone used as crafting material. Can be found in bonepiles in the Rotten Vale. Its size evokes a certain primal quality.
141,Brutal Bone,material,,6,,1200,,,Bone,Gray,A bone used as crafting material. Can be found in bonepiles in the Elder's Recess. Its size evokes a certain primal quality.
143,Unknown Skull,material,,7,,1800,,,Bone,Gold,A rare material found in bonepiles in the Elder's Recess. It appears to be some kind of animal skull.
697,Frozen Bone,material,,9,,2400,,,Bone,Blue,A bone found in bonepiles in the Hoarfrost Reach. Tempered by years of the tundra's unrelenting cold.
142,Dragonbone Relic,material,,7,,1600,,,Bone,White,A high quality material found in bone piles. The only remains left of a species of dragon now lost to time.
778,Dragonbone Artifact,material,,10,,2000,,,Bone,Violet,A very rare bone found in bonepiles. Evidence of an unknown elder dragon that once ruled the land.
130,Armor Sphere,material,,4,,80,,,Sphere,Blue,Reacts uniquely to heat. Fuse this to armor to improve it by a tiny amount.
131,Armor Sphere+,material,,5,,200,,,Sphere,Green,Reacts uniquely to heat. Fuse this to armor to improve it by a small amount.
132,Advanced Armor Sphere,material,,6,,300,,,Sphere,Beige,Reacts uniquely to heat. Fuse this to armor to improve it.
133,Hard Armor Sphere,material,,7,,400,,,Sphere,Violet,Reacts uniquely to heat. Fuse this to armor to significantly improve it.
134,Heavy Armor Sphere,material,,8,,600,,,Sphere,Red,Reacts uniquely to heat. Fuse this to armor to greatly improve it.
1220,King Armor Sphere,material,,9,,700,,,Sphere,Gold,Reacts uniquely to heat. Fuse this to armor to vastly improve it.
1221,True Armor Sphere,material,,10,,800,,,Sphere,Cyan,Reacts uniquely to heat. Fuse this to armor to extremely improve it.
1275,Dracolite Shard,material,,8,,100,,,Question,DarkRed,A small amount of the earth's energy lies within. It can awaken hidden powers when combined with special materials.
1276,Dracolite,material,,9,,200,,,Question,DarkRed,The earth's energy lies within. It can awaken hidden powers when combined with special materials.
1277,Large Dracolite,material,,10,,300,,,Question,DarkRed,A large amount of the earth's energy lies within. It can awaken hidden powers when combined with special materials.
1278,Rigid Dracolite,material,,11,,400,,,Question,DarkRed,A great amount of the earth's energy lies within. It can awaken hidden powers when combined with special materials.
1279,Pure Dracolite,material,,12,,500,,,Question,DarkRed,A vast amount of the earth's energy lies within. It can awaken hidden powers when combined with special materials.
144,Great Hornfly,material,,5,,200,,,Bug,Gold,"Discovered by Botanical Research. An insect with a giant horn, massive shell, and butterfly-like wings."
145,Sinister Cloth,material,,5,,350,,,Question,Gray,Suspect cloth the Tailraider Safari dug up from who-knows-where. Drips with an aura of pure evil.
785,Ancient Fragment,material,,9,,540,,,Question,Gray,A metal scrap the Tailraider Safari found on a master rank outing. Hard enough to be useful for...something?
1224,Dragonvein Shard,material,,4,,300,,,Ore,Gray,The leavings of special coal that contains the earth's energy within. Even these scraps make fine fuel.
1225,Dragonvein Coal,material,,5,,600,,,Ore,Beige,Special coal that contains the earth's energy within. Prized as fuel at the Commission's new base.
1226,Dragonvein Coal Chunk,material,,6,,900,,,Ore,Red,Special coal that contains the earth's energy within. A deposit this size can fuel a base for days.
1227,Giant Dragonvein Coal,material,,7,,1200,,,Ore,Violet,Special coal that contains the earth's energy within. Quite huge. It's the ideal fuel for easy living!
146,Monster Bone S,material,,4,,30,,,Bone,Gold,A material found in bonepiles. Indispensable for both hunting and daily life.
147,Monster Bone M,material,,4,,300,,,Bone,Gold,"Bone obtained from large monsters. Strong yet flexible, it's as reliable as steel or wood."
148,Monster Bone L,material,,4,,400,,,Bone,Gold,"Bone obtained from large monsters. Hard to work with due to its size, but vital when crafting larger items."
149,Monster Bone+,material,,4,,500,,,Bone,Beige,"Bone obtained from large monsters. Hard to obtain, but vital for crafting powerful equipment."
150,Monster Keenbone,material,,6,,800,,,Bone,Pink,Bone obtained from high rank large monsters. It has a razor-sharp tip that retains its strength after forging.
151,Monster Hardbone,material,,6,,1200,,,Bone,Red,Precious bone obtained from high rank large monsters. Their rarity makes them highly sought after.
686,Monster Toughbone,material,,9,,2000,,,Bone,DarkRed,Bone obtained from large master rank monsters. It emits a potent aura of near-limitless potential.
786,Monster Slogbone,material,,10,,2300,,,Bone,Gray,Bone obtained from large master rank monsters. Far heavier than its outward appearance would suggest.
787,Monster Solidbone,material,,10,,2600,,,Bone,LightBeige,Bone obtained from large master rank monsters. Sturdy enough to withstand even the most ferocious of impacts.
152,Elder Dragon Bone,material,,7,,1600,,,Bone,Violet,A bone from an elder dragon. It exudes the great majesty of the beast that bore it.
788,Large Elder Dragon Bone,material,,12,,3200,,,Bone,DarkPurple,"Material from master rank elder dragons. Equal parts austere and wild, it seems untouched by time."
153,Sharp Claw,material,,4,,200,,,Fang,Gray,"Obtained from small fanged wyverns. Unlike wyvern claws, this is shaped to grip objects."
154,Piercing Claw,material,,6,,800,,,Fang,Gray,Material from high rank small fanged wyverns. Sharp enough that it might serve as a makeshift knife.
687,Tough Claw,material,,9,,2000,,,Fang,Gray,Material from master rank small fanged wyverns. So sharp and sturdy that it could be used as a weapon.
155,Monster Fluid,material,,4,,200,,,Liquid,Cyan,Material obtained from small insects. Mixes with insect gastric fluids to form adhesive.
156,Monster Broth,material,,6,,800,,,Liquid,Blue,Material from high rank insects. A rich broth made from only the thickest of monster juices.
688,Monster Essence,material,,9,,2000,,,Liquid,Blue,"Material obtained from master rank small insects. The densest, most viscous fluids available. Very icky."
157,Poison Sac,material,,4,,600,,,Sac,Violet,A monster organ that contains a lethal toxin. Handle with extreme care.
158,Toxin Sac,material,,6,,1600,,,Sac,Violet,A monster organ filled with an extremely potent toxin. Just touching it is dangerous.
698,Deadly Poison Sac,material,,9,,3400,,,Sac,Violet,A monster organ that contains an extremely virulent toxin. Handle with extreme care.
159,Paralysis Sac,material,,4,,800,,,Sac,Yellow,A monster organ that contains paralyzing neurotoxins.
160,Omniplegia Sac,material,,6,,1600,,,Sac,Yellow,A monster organ filled with potent neurotoxins. A single touch can cause paralysis.
699,Ultraplegia Sac,material,,9,,3400,,,Sac,Yellow,A monster organ filled with highly concentrated neurotoxins. Handle with extreme care.
161,Sleep Sac,material,,4,,800,,,Sac,Blue,A monster organ that contains a knockout powder capable of inducing sleep.
162,Coma Sac,material,,6,,1600,,,Sac,Blue,A monster organ that contains dangerous powder. One whiff can induce a coma.
779,Torpor Sac,material,,9,,3400,,,Sac,Blue,A monster organ that contains a sleeping agent capable of instantly knocking out even a raging monster.
163,Flame Sac,material,,4,,800,,,Sac,Red,A monster organ filled with flammable powder. Handle with extreme care.
164,Inferno Sac,material,,6,,1600,,,Sac,Red,A monster organ filled with powder that ignites if it so much as touches air. Danger!
700,Conflagrant Sac,material,,9,,3400,,,Sac,Red,A monster organ that contains highly volatile and extremely explosive powder. Exquisitely dangerous.
165,Aqua Sac,material,,4,,600,,,Sac,Cyan,A monster organ designed to hold and preserve water.
166,Torrent Sac,material,,6,,1600,,,Sac,Cyan,A monster organ designed to hold and preserve copious amounts of water.
701,Flood Sac,material,,9,,3400,,,Sac,Cyan,A monster organ designed to hold and preserve tremendous amounts of water.
167,Frost Sac,material,,4,,1000,,,Sac,White,"A monster internal organ, filled with extremely low temperature fluid. Handle with care."
168,Freezer Sac,material,,6,,2400,,,Sac,White,A monster organ with tremendous freezing power. Turns its surroundings to ice.
702,Cryo Sac,material,,9,,4200,,,Sac,White,A monster organ that contains a potent freezing agent. Able to cover a broad area in ice instantaneously.
169,Electro Sac,material,,4,,1000,,,Sac,Gold,"A monster organ that can store up electricity, which is released on impact."
170,Thunder Sac,material,,6,,1600,,,Sac,Gold,A monster organ that can store up large amounts of high voltage electricity.
703,Lightning Sac,material,,9,,3400,,,Sac,Gold,A monster organ that can store electricity as strong as lightning. It rumbles like thunder.
171,Bird Wyvern Gem,material,,7,,4000,,,Gem,Blue,A valuable gem that can be harvested from bird wyverns. Said to fetch a high price on the market.
789,Fey Wyvern Gem,material,,9,,8000,,,Gem,Blue,An exceptionally pure gem taken from a bird wyvern. Its fragility makes it difficult to carve.
172,Wyvern Gem,material,,7,,4000,,,Gem,Cyan,"Throughout a wyvern's life, impurities gather and form this peculiar gem."
790,Large Wyvern Gem,material,,9,,8000,,,Gem,Cyan,A wyvern gem that has grown further over the ages. Emits a mesmerizing shimmer.
173,Elder Dragon Blood,material,,7,,1600,,,Liquid,Red,Contains an unknown compound. The object of much scholarly research.
791,Pure Dragon Blood,material,,11,,4800,,,Liquid,Red,Elder dragon blood that contains a more potent mix of its mysterious ingredient.
792,Large Elder Dragon Gem,material,,12,,21000,,,Gem,DarkRed,"A giant, ultra-rare stone that forms inside an Elder Dragon once in a millennium."
174,Mosswine Hide,material,,4,,200,,,Hide,DarkGreen,A musty hide covered in moss.
175,Warm Pelt,material,,4,,120,,,Hide,Green,"A pelt from a small animal. Used for many things, but mostly just regular clothes."
176,High-quality Pelt,material,,6,,320,,,Hide,Beige,Rare pelt from a small animal. Feels wonderful to the touch and valued highly by the Commission.
704,Prized Pelt,material,,9,,1020,,,Hide,Beige,"Very rare small monster material. Obtained by carving. Warm and durable, used to craft gear."
705,Anteka Antler,material,,9,,460,,,Fang,White,Very rare Anteka material. Obtained by carving. Used for many purposes.
177,Vespoid Shell,material,,4,,160,,,Bug,Gold,Vespoid material. Obtained by carving. Used for many purposes.
179,Vespoid Carapace,material,,6,,460,,,Bug,Gold,Rare Vespoid material. Obtained by carving. Used for many purposes.
178,Vespoid Wing,material,,4,,210,,,Webbing,Gold,"Vespoid material. Obtained by carving. Light and sharp, used in many weapons."
180,Vespoid Innerwing,material,,6,,560,,,Webbing,Gold,"Rare Vespoid material. Obtained by carving. Light and sharp, used in many weapons."
689,Vespoid Razorwing,material,,9,,1960,,,Webbing,Gold,"Very rare Vespoid material. Obtained by carving. Light and sharp, used in many weapons."
